erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,05:33,05:36,05:45,05:51,05:47,06:03,06:08
05:45,05:38,05:41,05:51,05:56,06:02,06:08,06:13
05:50,05:43,05:46,05:56,06:02,06:08,06:13,06:19
05:55,05:48,05:51,06:01,06:07,06:13,06:19,06:24
06:00,05:53,05:56,06:06,06:12,06:18,06:24,06:30
06:05,05:58,06:01,06:11,06:17,06:23,06:29,06:35
06:10,06:02,06:06,06:16,06:22,06:29,06:35,06:40
06:15,06:07,06:11,06:21,06:27,06:34,06:40,06:46
06:20,06:12,06:16,06:26,06:33,06:39,06:45,06:51
06:25,06:17,06:21,06:31,06:38,06:44,06:51,06:57
06:30,06:22,06:26,06:36,06:43,06:50,06:56,07:02
06:35,06:27,06:31,06:41,06:48,06:55,07:01,07:07
06:40,06:32,06:36,06:46,06:53,07:00,07:06,07:13
06:45,06:37,06:41,06:51,06:58,07:05,07:12,07:18
06:50,06:42,06:45,06:57,07:04,07:11,07:17,07:24
06:55,06:47,06:50,07:02,07:09,07:16,07:22,07:29
07:00,06:51,06:55,07:07,07:14,07:21,07:28,07:34
07:05,06:56,07:00,07:12,07:19,07:26,07:33,07:40
07:10,07:01,07:05,07:17,07:24,07:32,07:38,07:45
07:15,07:06,07:10,07:22,07:29,07:37,07:44,07:51
07:20,07:11,07:15,07:27,07:35,07:42,07:49,07:56
07:25,07:16,07:20,07:32,07:40,07:47,07:54,08:01
07:30,07:21,07:25,07:37,07:45,07:53,08:00,08:07
07:35,07:26,07:30,07:42,07:50,07:58,08:05,08:12
07:40,07:31,07:35,07:47,07:55,08:03,08:10,08:18
07:45,07:35,07:40,07:52,08:00,08:08,08:16,08:23
07:50,07:40,07:45,07:58,08:06,08:14,08:21,08:29
07:55,07:45,07:50,08:03,08:11,08:19,08:26,08:34
08:00,07:50,07:55,08:08,08:16,08:24,08:32,08:39
