erg score,50kg,60kg,70kg,80kg,90kg,100kg,110kg
05:40,05:13,05:19,05:24,05:30,05:35,05:40,05:45
05:45,05:17,05:23,05:29,05:35,05:40,05:45,05:51
05:50,05:22,05:28,05:34,05:40,05:45,05:50,05:56
05:55,05:27,05:33,05:39,05:44,05:50,05:55,06:01
06:00,05:31,05:37,05:43,05:49,05:55,06:00,06:06
06:05,05:36,05:42,05:48,05:54,06:00,06:05,06:11
06:10,05:40,05:47,05:53,05:59,06:05,06:10,06:16
06:15,05:45,05:51,05:58,06:04,06:10,06:15,06:21
06:20,05:50,05:56,06:03,06:09,06:15,06:20,06:26
06:25,05:54,06:01,06:07,06:14,06:20,06:25,06:31
06:30,05:59,06:06,06:12,06:18,06:25,06:31,06:36
06:35,06:03,06:10,06:17,06:23,06:29,06:36,06:41
06:40,06:08,06:15,06:22,06:28,06:34,06:41,06:46
06:45,06:13,06:20,06:26,06:33,06:39,06:46,06:52
06:50,06:17,06:24,06:31,06:38,06:44,06:51,06:57
06:55,06:22,06:29,06:36,06:43,06:49,06:56,07:02
07:00,06:26,06:34,06:41,06:48,06:54,07:01,07:07
07:05,06:31,06:38,06:45,06:52,06:59,07:06,07:12
07:10,06:36,06:43,06:50,06:57,07:04,07:11,07:17
07:15,06:40,06:48,06:55,07:02,07:09,07:16,07:22
07:20,06:45,06:52,07:00,07:07,07:14,07:21,07:27
07:25,06:49,06:57,07:05,07:12,07:19,07:26,07:32
07:30,06:54,07:02,07:09,07:17,07:24,07:31,07:37
07:35,06:59,07:06,07:14,07:22,07:29,07:36,07:42
07:40,07:03,07:11,07:19,07:26,07:34,07:41,07:47
07:45,07:08,07:16,07:24,07:31,07:39,07:46,07:52
07:50,07:12,07:21,07:28,07:36,07:43,07:51,07:58
07:55,07:17,07:25,07:33,07:41,07:48,07:56,08:03
08:00,07:22,07:30,07:38,07:46,07:53,08:01,08:08
